Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played
AB Barath,2.81818181818,0,21.0,58.7786259542,11
MN van Wyk,3.0,0.285714285714,26.1428571429,64.4366197183,14
WW Hinds,1.25,0,13.5,39.7058823529,8
F du Plessis,3.43243243243,0.27027027027,33.8783783784,83.9303649146,74
WU Tharanga,3.89473684211,0.245614035088,32.3333333333,71.0485736315,114
Imran Tahir,0.714285714286,0,5.71428571429,68.9655172414,14
AN Petersen,3.4375,0.25,29.5,83.9857651246,16
AC Botha,1.25,0.0833333333333,14.3333333333,53.75,12
DG Brownlie,2.57142857143,0,20.1428571429,69.1176470588,7
S Badrinath,0.6,0,13.4,45.8904109589,5
V Permaul,0.333333333333,0,3.66666666667,50.0,3
MA Carberry,2.8,0.2,22.6,63.4831460674,5
NL McCullum,1.60377358491,0.0566037735849,16.9622641509,86.6923818708,53
M Ntini,0.333333333333,0,2.86666666667,58.1081081081,15
AG Cremer,0.68,0,10.0,53.4188034188,25
A Flintoff,2.5,0.1,21.9666666667,87.8666666667,30
J Charles,3.625,0.125,26.5,80.5318138651,32
Mahbubul Alam,3.5,0.5,39.5,109.722222222,2
G Gambhir,4.02912621359,0.330097087379,37.4660194175,85.4138999557,103
NJ Astle,3.11111111111,0.111111111111,22.2222222222,68.4931506849,9
Faisal Iqbal,3.0,0,26.0,53.0612244898,1
Sarfraz Ahmed,1.94444444444,0.0833333333333,24.5277777778,81.0835629017,36
HM Nicholls,2.625,0.25,26.875,73.883161512,8
Anwar Ali,2.36363636364,0,20.4545454545,82.4175824176,11
S Chattergoon,4.66666666667,0.166666666667,27.8333333333,60.9489051095,6
Imad Wasim,2.33333333333,0.333333333333,25.3333333333,90.4761904762,3
BP Nash,1.0,0,5.0,62.5,1
CR Woakes,1.23076923077,0,15.1538461538,78.8,26
Naeem Islam,1.82926829268,0.0975609756098,18.3170731707,67.1735241503,41
W Jaffer,1.0,0,5.0,43.4782608696,2
Anamul Haque,3.86363636364,0.227272727273,34.8636363636,70.1096892139,22
RS Morton,2.38461538462,0.230769230769,30.0,68.9045936396,26
FH Edwards,0.333333333333,0,3.75,51.1363636364,12
M Muralitharan,0.71875,0,5.8125,100.540540541,32
GS Ballance,1.33333333333,0.0833333333333,17.25,61.7910447761,12
R Dhawan,0.5,0,6.0,92.3076923077,2
AF Milne,1.0,0,11.5454545455,95.4887218045,11
Sabbir Rahman,3.26666666667,0.133333333333,26.0666666667,94.4444444444,15
AB Dinda,0.2,0,4.2,55.2631578947,5
R Clarke,1.5,0,19.5,81.25,2
JD Ryder,5.09375,0.28125,35.375,98.2638888889,32
IDR Bradshaw,0.666666666667,0,8.33333333333,49.0196078431,6
MA Vermeulen,1.85714285714,0.142857142857,20.2857142857,68.2692307692,7
MM Sharma,0.625,0,3.75,56.6037735849,8
Shafiul Islam,0.555555555556,0,4.59259259259,59.3301435407,27
GD Elliott,2.56896551724,0.189655172414,27.8965517241,79.00390625,58
MN Waller,2.02941176471,0.0882352941176,18.9411764706,68.1481481481,34
Shoaib Akhtar,0.444444444444,0,3.38888888889,68.5393258427,18
I Sharma,0.25,0,2.95833333333,34.6341463415,24
MS Panesar,0.285714285714,0,3.71428571429,28.2608695652,7
AJ Finch,4.11627906977,0.279069767442,33.9302325581,83.6582568807,43
ML Hayden,6.09375,0.34375,47.78125,81.416400426,32
DPMD Jayawardene,3.17441860465,0.238372093023,31.2965116279,77.3864289822,172
AR White,1.25,0,14.5625,62.6344086022,16
C Zhuwao,3.0,0,16.0,72.7272727273,1
Shahid Afridi,2.7890625,0.1015625,22.1328125,127.211495285,128
LL Tsotsobe,0.470588235294,0,3.35294117647,52.7777777778,17
BB Chari,1.0,0,19.0,45.5089820359,4
SP Fleming,4.47368421053,0.315789473684,35.9473684211,71.5932914046,19
Zulfiqar Babar,0.5,0,5.25,72.4137931034,4
JJ Roy,4.35294117647,0.176470588235,29.1176470588,92.3507462687,17
DW Steyn,0.675,0,6.0,55.0458715596,40
BJ Watling,2.53333333333,0.2,23.6,63.1016042781,15
Kamran Akmal,3.07407407407,0.123456790123,23.2962962963,82.6544021025,81
CJ McKay,0.541666666667,0,6.33333333333,51.7006802721,24
CRD Fernando,0.6,0,5.5,65.0887573964,20
SPD Smith,3.16,0.2,33.8,87.1583290356,50
ME Trescothick,6.42857142857,0.428571428571,50.2857142857,85.4368932039,7
JW Dernbach,0.166666666667,0,2.33333333333,45.1612903226,6
C Munro,2.77777777778,0.222222222222,27.1111111111,93.1297709924,9
MF Maharoof,1.03448275862,0,11.4482758621,72.8070175439,29
D Ramdin,1.79746835443,0.101265822785,19.6329113924,82.0200951877,79
DJG Sammy,2.34042553191,0.0957446808511,18.8191489362,96.5611353712,94
