Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,S Matsikenyeri,32,22,10,36,125,5,24,0,12,5,17,94,72,166,222,221,9,0,8,2,0.106383,19.9787,75.7869,47,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,KP Pietersen,60,22,38,90,103,3,19,1,4,8,12,46,88,134,0,209,11,0,8,3.69892,0.236559,33.4946,82.2117,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,0,0,0,0,103,3,19,1,4,8,12,46,88,134,0,209,11,0,8,1.41667,0.0833333,19,73.7864,24,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,A Flintoff,0,0,0,0,103,3,19,1,4,8,12,46,88,134,0,209,11,0,8,2.4375,0.09375,22.5,86.5385,32,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,PA Nixon,0,0,0,0,103,3,19,1,4,8,12,46,88,134,0,209,11,0,8,1.35294,0,16,79.3003,17,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,LE Plunkett,0,0,0,0,103,3,19,1,4,8,12,46,88,134,0,209,11,0,8,1.38095,0,13.1905,113.992,21,0
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,JDP Oram,46,14,32,64,127,4,20,0,12,14,26,66,107,173,210,210,26,0,8,2.70833,0.1875,25.0417,95.8533,48,0
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,SB Styris,67,24,43,100,127,4,20,0,12,14,26,66,107,173,210,210,26,0,8,3.20755,0.264151,33.8302,78.7094,53,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,Yuvraj Singh,25,8,17,36,79,4,25,0,0,20,20,32,92,124,0,191,12,0,8,4.05833,0.258333,32.525,83.8093,120,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,SC Ganguly,47,16,31,105,79,4,25,0,0,20,20,32,92,124,0,191,12,0,8,4.56,0.36,36.8,68.2999,25,4
