Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Matches Played
FRJ Coleman,2.11111111111,0.111111111111,9
Nazimuddin,1.81818181818,0,11
GR Codrington,1.66666666667,0,6
DR Tuffey,1.33333333333,0,12
Mohammad Irfan,0.233333333333,0,30
J Edness,3.25,0.25,4
DM Bravo,3.0,0.223684210526,76
DI Allan,1.0,0,2
MS Sinclair,2.4,0.2,5
Mohammad Hafeez,3.94927536232,0.246376811594,138
BW Hilfenhaus,0.222222222222,0,9
HD Rutherford,0.5,0,4
JL Pattinson,0.25,0,8
Khurram Khan,4.0,0.25,12
GH Bodi,5.0,0.5,2
S Matsikenyeri,1.95833333333,0.104166666667,48
PP Chawla,0.25,0,12
CS Baugh,1.04545454545,0,22
RP Arnold,1.06666666667,0.133333333333,15
S Dhawan,5.60563380282,0.366197183099,71
RMS Eranga,0.444444444444,0,9
JM Bairstow,3.0,0.1,10
Mithun Ali,5.0,0,1
TS Nethula,0.333333333333,0,3
Abdul Jabbar,5.0,0,2
PVD Chameera,0.6,0,5
RR Powar,0.333333333333,0,9
TG Southee,0.764705882353,0,51
DES Maxwell,1.66666666667,0,3
AD Mascarenhas,1.83333333333,0.0833333333333,12
BRM Taylor,3.24528301887,0.254716981132,106
CA Ingram,3.0,0.178571428571,28
IA Karim,7.66666666667,0.666666666667,3
PM Siddle,0.25,0,4
RD Steede,1.0,0,2
Ankur Sharma,1.0,0,1
MV Boucher,2.5,0.129032258065,62
Kamran Hussain,2.0,0,1
GC Tonge,0.333333333333,0,3
PJ Ongondo,0.357142857143,0,14
Adeel Raja,0.333333333333,0,3
AD Mathews,2.68148148148,0.2,135
E Schiferli,1.0,0,2
T Duffin,4.0,0.25,4
NT Broom,1.42105263158,0.0526315789474,19
Junaid Khan,0.210526315789,0,19
JA Burns,2.83333333333,0.166666666667,6
MDK Perera,1.0,0,4
C de Grandhomme,4.0,0,1
MA Carberry,2.8,0.2,5
KJ Coetzer,5.0,0.2,15
Mominul Haque,2.60869565217,0.130434782609,23
AN Kervezee,2.8,0.1,10
Yasir Shah,1.16666666667,0,6
TL Best,0.375,0,8
R Vinay Kumar,0.636363636364,0,11
J Blackwood,0.5,0,2
GH Worker,2.0,0,2
GC Wilson,2.61111111111,0.222222222222,36
MK Tiwary,2.7,0.2,10
Hashmatullah Shahidi,1.66666666667,0,3
Iftikhar Anjum,0.636363636364,0,22
Bilawal Bhatti,1.71428571429,0,7
Bilal Asif,2.33333333333,0,3
D Bishoo,0.285714285714,0,7
SI Mahmood,0.888888888889,0,9
TV Mufambisi,1.5,0,4
Mehrab Hossain jnr,1.7,0.1,10
MR Gillespie,0.9,0,10
Saeed Ajmal,0.373134328358,0,67
JD Nel,0.666666666667,0,3
RW Chakabva,1.0,0,29
Mohammad Rafique,0.4,0,15
S Chanderpaul,3.515625,0.390625,64
Zahid Hussain,0.5,0,2
SP Narine,1.05882352941,0,34
DA Warner,4.49253731343,0.268656716418,67
FL Reifer,1.16666666667,0,6
J Mubarak,1.21428571429,0.0714285714286,14
Salman Faris,1.5,0,2
TAM Siriwardana,3.1,0.2,10
K Karate,1.66666666667,0,3
EJG Morgan,3.25,0.235294117647,136
SL Stewart,0.5,0,4
Ehsan Adil,0.5,0,4
DA Miller,2.5652173913,0.130434782609,69
SP Patil,1.3,0.1,10
WF Stelling,2.0,0,2
KC Sangakkara,4.39150943396,0.367924528302,212
Fawad Ahmed,1.0,0,1
Irfan Ahmed,3.33333333333,0,3
AT Rayudu,3.38461538462,0.269230769231,26
SR Tendulkar,5.9,0.366666666667,90
RK Kleinveldt,2.0,0,7
V Sibanda,3.1,0.185714285714,70
KED Carroll,0.333333333333,0,3
BCJ Cutting,2.5,0,2
CD Collymore,0.333333333333,0,9
GM Hamilton,1.5,0.0833333333333,12
Mustafizur Rahman,0.5,0,4
L Vincent,3.33333333333,0.277777777778,18
T Mupariwa,0.416666666667,0,12
DSNFG Jayasuriya,1.0,0,2
T Panyangara,0.62962962963,0,27
Naumanullah,1.0,0,1
Tanvir Ahmed,3.0,0,1
Younis Khan,2.74166666667,0.233333333333,120
Wahab Riaz,1.26,0.04,50
AB Barath,2.76923076923,0.0769230769231,13
MN van Wyk,3.33333333333,0.266666666667,15
WW Hinds,1.11111111111,0,9
F du Plessis,3.42168674699,0.289156626506,83
SKW Kelly,1.0,0,1
WU Tharanga,3.94890510949,0.262773722628,137
SM Warnapura,2.0,0,2
Imran Tahir,0.625,0,16
AN Petersen,3.11111111111,0.222222222222,18
J Charles,4.02857142857,0.171428571429,35
AC Botha,1.86666666667,0.0666666666667,15
DG Brownlie,3.0,0,9
Noor Ali Zadran,3.35294117647,0.176470588235,17
S Badrinath,0.666666666667,0,6
V Permaul,0.333333333333,0,3
JJ Tucker,2.54545454545,0,11
NL McCullum,1.64516129032,0.0645161290323,62
DL Hemp,3.18181818182,0.272727272727,11
M Ntini,0.375,0,16
AG Cremer,1.0,0.0277777777778,36
A Flintoff,2.4375,0.09375,32
ES Szwarczynski,2.72727272727,0.272727272727,11
Mahbubul Alam,3.5,0.5,2
I Wardlaw,0.222222222222,0,9
G Gambhir,4.05,0.341666666667,120
NJ Astle,2.8,0.1,10
Faisal Iqbal,3.0,0,1
Sarfraz Ahmed,2.02380952381,0.0952380952381,42
L Balaji,1.0,0,1
Munir Dar,2.0,0,2
Anwar Ali,2.13333333333,0,15
S Chattergoon,4.66666666667,0.166666666667,6
Imad Wasim,2.33333333333,0.333333333333,3
BP Nash,1.0,0,1
Zahid Shah,1.0,0,2
RT Lyons,1.0,0,1
W Jaffer,1.0,0,2
Anamul Haque,3.96296296296,0.222222222222,27
CR Woakes,1.06060606061,0,33
RS Morton,2.2962962963,0.222222222222,27
Hasti Gul,3.0,0,1
FH Edwards,0.384615384615,0,13
M Muralitharan,0.69696969697,0,33
GS Ballance,1.46666666667,0.133333333333,15
SW Poynter,0.5,0,2
Alok Kapali,2.21428571429,0.0714285714286,14
CJO Smith,2.5,0.1,10
R Dhawan,0.5,0,2
AF Milne,0.916666666667,0,12
EJ Richardson,2.0,0,1
Sabbir Rahman,3.21052631579,0.105263157895,19
Zain Abbas,2.0,0,1
Ahmed Raza,1.66666666667,0,3
PW Borren,3.125,0.1875,16
R Clarke,1.5,0,2
JD Ryder,4.83333333333,0.25,36
IDR Bradshaw,0.571428571429,0,7
