Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Matches Played,ClusterID
R Ashwin,1.16363636364,0.0181818181818,55,0
DT Christian,1.44444444444,0.0,18,0
PR Stirling,4.0,0.166666666667,36,1
GEF Barnett,2.0,0.0,5,2
JH Stander,1.0,0.0,3,0
CL White,2.6,0.185714285714,70,2
KM Jadhav,4.5,0.25,4,3
YK Pathan,2.56097560976,0.121951219512,41,2
Imran Nazir,4.66666666667,0.133333333333,15,3
CK Hooper,0.5,0.0,2,4
Imran Farhat,3.25,0.28125,32,1
CMW Read,1.0,0.0,6,0
AM Rahane,3.58064516129,0.274193548387,62,1
F Mutizwa,1.4,0.1,10,0
W Barresi,4.0,0.166666666667,12,1
Abdul Shakoor,3.0,0.0,1,1
AU Rashid,2.41176470588,0.0588235294118,17,2
Gulbadin Naib,2.42857142857,0.142857142857,7,2
AC Cummins,0.666666666667,0.0,3,4
RD McCann,0.5,0.0,2,4
Khalid Latif,2.6,0.2,5,2
Amjad Javed,3.85714285714,0.142857142857,7,1
Mashrafe Mortaza,1.31081081081,0.0,74,0
CD McMillan,3.88888888889,0.222222222222,18,1
MJ Henry,1.33333333333,0.0,9,0
GB Brent,0.75,0.0625,16,4
MA Wood,1.0,0.0,3,0
M Vijay,2.25,0.0625,16,2
JPR Lamsam,3.0,0.0,1,1
DP Hyatt,1.55555555556,0.0,9,0
SC Ganguly,4.96428571429,0.392857142857,28,3
MD Gunathilaka,3.6,0.2,5,1
H Patel,2.55555555556,0.111111111111,9,2
Sohail Tanvir,1.31578947368,0.0263157894737,38,0
JL Denly,3.55555555556,0.222222222222,9,1
Mohammad Naveed,2.14285714286,0.0,7,2
AP Devcich,3.125,0.125,8,1
DI Joyce,1.33333333333,0.0,3,0
NFI McCallum,3.4,0.1,10,1
Aftab Ahmed,2.44736842105,0.0789473684211,38,2
SG Borthwick,1.0,0.0,2,0
RML Taylor,1.0,0.0,10,0
C Kieswetter,3.43243243243,0.135135135135,37,1
Abdul Razzaq,2.16666666667,0.0714285714286,42,2
