Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
WK McCallan,1.0,0.0,1.0,2,112.0,4,10.0,2,4.0,12.0,16,60,78,138,0,183,19,Ireland,0,9
AR White,6.0,0.0,6.0,11,112.0,4,10.0,2,4.0,12.0,16,60,78,138,0,183,19,Ireland,0,9
MJ Clarke,58.0,32.0,26.0,57,230.0,2,44.0,0,18.0,22.0,40,196,118,314,0,377,14,Australia,0,9
RT Ponting,73.0,36.0,37.0,77,230.0,2,44.0,0,18.0,22.0,40,196,118,314,0,377,14,Australia,0,9
JH Kallis,39.0,16.0,23.0,53,216.0,3,28.0,1,8.0,10.0,18,160,102,262,378,294,17,South Africa,0,9
JM Kemp,1.0,0.0,1.0,4,216.0,3,28.0,1,8.0,10.0,18,160,102,262,378,294,17,South Africa,0,9
GC Smith,72.0,48.0,24.0,68,216.0,3,28.0,1,8.0,10.0,18,160,102,262,378,294,17,South Africa,0,9
SM Pollock,0.0,0.0,0.0,0,216.0,3,28.0,1,8.0,10.0,18,160,102,262,378,294,17,South Africa,0,9
AJ Hall,0.0,0.0,0.0,0,216.0,3,28.0,1,8.0,10.0,18,160,102,262,378,294,17,South Africa,0,9
CK Langeveldt,0.0,0.0,0.0,0,216.0,3,28.0,1,8.0,10.0,18,160,102,262,378,294,17,South Africa,0,9
ML Hayden,105.0,38.0,67.0,119,188.0,3,20.0,1,24.0,20.0,44,108,144,252,0,322,15,Australia,0,9
MEK Hussey,7.0,4.0,3.0,17,188.0,3,20.0,1,24.0,20.0,44,108,144,252,0,322,15,Australia,0,9
SR Watson,0.0,0.0,0.0,0,188.0,3,20.0,1,24.0,20.0,44,108,144,252,0,322,15,Australia,0,9
D Ramdin,35.0,16.0,19.0,31,145.0,5,27.0,2,12.0,19.0,31,84,119,203,323,219,16,West Indies,1,9
JE Taylor,2.0,0.0,2.0,8,145.0,5,27.0,2,12.0,19.0,31,84,119,203,323,219,16,West Indies,1,9
DBL Powell,0.0,0.0,0.0,0,145.0,5,27.0,2,12.0,19.0,31,84,119,203,323,219,16,West Indies,1,9
CD Collymore,0.0,0.0,0.0,0,145.0,5,27.0,2,12.0,19.0,31,84,119,203,323,219,16,West Indies,1,9
RP Arnold,28.0,4.0,24.0,49,128.0,5,27.0,0,8.0,18.0,26,68,113,181,0,209,8,Sri Lanka,0,9
TM Dilshan,40.0,8.0,32.0,57,128.0,5,27.0,0,8.0,18.0,26,68,113,181,0,209,8,Sri Lanka,0,9
JH Kallis,78.0,16.0,62.0,97,161.0,4,13.0,1,4.0,15.0,19,58,135,193,210,212,13,South Africa,0,9
SM Pollock,1.0,0.0,1.0,7,161.0,4,13.0,1,4.0,15.0,19,58,135,193,210,212,13,South Africa,0,9
AJ Hall,0.0,0.0,0.0,0,161.0,4,13.0,1,4.0,15.0,19,58,135,193,210,212,13,South Africa,0,9
LMP Simmons,1.0,0.0,1.0,13,133.0,5,13.0,1,14.0,8.0,22,70,98,168,0,177,9,West Indies,1,9
D Ramdin,14.0,8.0,6.0,19,133.0,5,13.0,1,14.0,8.0,22,70,98,168,0,177,9,West Indies,1,9
DR Smith,0.0,0.0,0.0,0,133.0,5,13.0,1,14.0,8.0,22,70,98,168,0,177,9,West Indies,1,9
DBL Powell,0.0,0.0,0.0,0,133.0,5,13.0,1,14.0,8.0,22,70,98,168,0,177,9,West Indies,1,9
CD Collymore,0.0,0.0,0.0,0,133.0,5,13.0,1,14.0,8.0,22,70,98,168,0,177,9,West Indies,1,9
PD Collingwood,35.0,12.0,23.0,54,132.0,4,23.0,0,8.0,21.0,29,68,116,184,0,266,17,England,0,9
A Flintoff,34.0,16.0,18.0,54,132.0,4,23.0,0,8.0,21.0,29,68,116,184,0,266,17,England,0,9
PA Nixon,0.0,0.0,0.0,0,132.0,4,23.0,0,8.0,21.0,29,68,116,184,0,266,17,England,0,9
AR White,4.0,0.0,4.0,14,120.0,4,18.0,2,18.0,27.0,45,52,131,183,267,218,16,Ireland,0,9
DT Johnston,8.0,6.0,2.0,8,120.0,4,18.0,2,18.0,27.0,45,52,131,183,267,218,16,Ireland,0,9
WK McCallan,0.0,0.0,0.0,0,120.0,4,18.0,2,18.0,27.0,45,52,131,183,267,218,16,Ireland,0,9
LPC Silva,4.0,0.0,4.0,6,177.0,2,27.0,1,0.0,30.0,30,86,148,234,0,303,24,Sri Lanka,0,9
DPMD Jayawardene,70.0,14.0,56.0,103,177.0,2,27.0,1,0.0,30.0,30,86,148,234,0,303,24,Sri Lanka,0,9
TM Dilshan,0.0,0.0,0.0,0,177.0,2,27.0,1,0.0,30.0,30,86,148,234,0,303,24,Sri Lanka,0,9
IDR Bradshaw,2.0,0.0,2.0,7,127.0,4,25.0,3,14.0,13.0,27,68,111,179,304,190,11,West Indies,1,9
S Chanderpaul,68.0,28.0,40.0,108,127.0,4,25.0,3,14.0,13.0,27,68,111,179,304,190,11,West Indies,1,9
JE Taylor,0.0,0.0,0.0,0,127.0,4,25.0,3,14.0,13.0,27,68,111,179,304,190,11,West Indies,1,9
DBL Powell,0.0,0.0,0.0,0,127.0,4,25.0,3,14.0,13.0,27,68,111,179,304,190,11,West Indies,1,9
Mohammad Rafique,1.0,0.0,1.0,8,114.0,4,4.0,3,20.0,7.0,27,64,81,145,0,174,14,Bangladesh,0,9
Mashrafe Mortaza,2.0,0.0,2.0,13,114.0,4,4.0,3,20.0,7.0,27,64,81,145,0,174,14,Bangladesh,0,9
Abdur Razzak,0.0,0.0,0.0,0,114.0,4,4.0,3,20.0,7.0,27,64,81,145,0,174,14,Bangladesh,0,9
Syed Rasel,0.0,0.0,0.0,0,114.0,4,4.0,3,20.0,7.0,27,64,81,145,0,174,14,Bangladesh,0,9
LPC Silva,12.0,4.0,8.0,18,152.0,3,21.0,1,8.0,17.0,25,66,132,198,0,235,11,Sri Lanka,0,9
TM Dilshan,1.0,0.0,1.0,2,152.0,3,21.0,1,8.0,17.0,25,66,132,198,0,235,11,Sri Lanka,0,9
RP Arnold,0.0,0.0,0.0,0,152.0,3,21.0,1,8.0,17.0,25,66,132,198,0,235,11,Sri Lanka,0,9
PA Nixon,11.0,0.0,11.0,20,134.0,6,20.0,0,8.0,19.0,27,62,119,181,236,233,6,England,0,9
RS Bopara,12.0,0.0,12.0,20,134.0,6,20.0,0,8.0,19.0,27,62,119,181,236,233,6,England,0,9
Mohammad Ashraful,43.0,20.0,23.0,58,118.0,4,31.0,1,20.0,16.0,36,96,89,185,0,251,23,Bangladesh,0,9
Mushfiqur Rahim,2.0,0.0,2.0,6,118.0,4,31.0,1,20.0,16.0,36,96,89,185,0,251,23,Bangladesh,0,9
Mashrafe Mortaza,0.0,0.0,0.0,0,118.0,4,31.0,1,20.0,16.0,36,96,89,185,0,251,23,Bangladesh,0,9
HH Gibbs,35.0,10.0,25.0,39,121.0,6,12.0,2,0.0,15.0,15,48,100,148,252,184,8,South Africa,0,9
CK Langeveldt,1.0,0.0,1.0,12,121.0,6,12.0,2,0.0,15.0,15,48,100,148,252,184,8,South Africa,0,9
KP Pietersen,75.0,26.0,49.0,92,164.0,4,16.0,1,8.0,18.0,26,78,128,206,0,247,17,England,0,9
RS Bopara,10.0,4.0,6.0,19,164.0,4,16.0,1,8.0,18.0,26,78,128,206,0,247,17,England,0,9
