Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Team,Home
Habibul Bashar,0.0,0.0,0.0,0,0.0,0,22.0,2,4,11,0,104,Bangladesh,0
ML Hayden,9.0,4.0,5.0,10,0.0,0,40.0,0,10,18,105,106,Australia,0
AC Gilchrist,31.0,24.0,7.0,20,0.0,0,40.0,0,10,18,105,106,Australia,0
WU Tharanga,4.0,0.0,4.0,20,0.0,0,9.0,0,12,7,0,303,Sri Lanka,0
KC Sangakkara,0.0,0.0,0.0,0,0.0,0,9.0,0,12,7,0,303,Sri Lanka,0
ST Jayasuriya,5.0,0.0,5.0,15,0.0,0,9.0,0,12,7,0,303,Sri Lanka,0
DPMD Jayawardene,0.0,0.0,0.0,0,0.0,0,9.0,0,12,7,0,303,Sri Lanka,0
CH Gayle,8.0,4.0,4.0,19,0.0,0,17.0,0,8,9,304,190,West Indies,1
DJ Bravo,9.0,4.0,5.0,12,0.0,0,17.0,0,8,9,304,190,West Indies,1
S Chanderpaul,0.0,0.0,0.0,0,0.0,0,17.0,0,8,9,304,190,West Indies,1
BC Lara,0.0,0.0,0.0,0,0.0,0,17.0,0,8,9,304,190,West Indies,1
Tamim Iqbal,3.0,0.0,3.0,15,0.0,0,14.0,0,4,5,0,174,Bangladesh,0
Javed Omar,11.0,8.0,3.0,15,0.0,0,14.0,0,4,5,0,174,Bangladesh,0
PG Fulton,5.0,4.0,1.0,19,0.0,0,23.0,0,8,13,175,178,New Zealand,0
SP Fleming,18.0,12.0,6.0,14,0.0,0,23.0,0,8,13,175,178,New Zealand,0
HJH Marshall,0.0,0.0,0.0,0,0.0,0,23.0,0,8,13,175,178,New Zealand,0
EJG Morgan,6.0,4.0,2.0,12,0.0,0,9.0,1,4,4,0,152,Ireland,0
WTS Porterfield,3.0,0.0,3.0,9,0.0,0,9.0,1,4,4,0,152,Ireland,0
GC Smith,4.0,0.0,4.0,9,0.0,0,18.0,1,32,10,153,165,South Africa,0
JH Kallis,14.0,12.0,2.0,18,0.0,0,18.0,1,32,10,153,165,South Africa,0
ST Jayasuriya,11.0,8.0,3.0,12,0.0,0,18.0,0,14,10,0,235,Sri Lanka,0
WU Tharanga,7.0,0.0,7.0,19,0.0,0,18.0,0,14,10,0,235,Sri Lanka,0
KC Sangakkara,0.0,0.0,0.0,0,0.0,0,18.0,0,14,10,0,235,Sri Lanka,0
EC Joyce,10.0,4.0,6.0,19,0.0,0,11.0,1,8,14,236,233,England,0
KP Pietersen,0.0,0.0,0.0,0,0.0,0,11.0,1,8,14,236,233,England,0
IR Bell,1.0,0.0,1.0,8,0.0,0,11.0,1,8,14,236,233,England,0
Javed Omar,2.0,0.0,2.0,14,0.0,0,11.0,0,12,10,0,251,Bangladesh,0
Tamim Iqbal,9.0,8.0,1.0,18,0.0,0,11.0,0,12,10,0,251,Bangladesh,0
GC Smith,12.0,4.0,8.0,20,0.0,0,17.0,0,12,7,252,184,South Africa,0
JH Kallis,0.0,0.0,0.0,0,0.0,0,17.0,0,12,7,252,184,South Africa,0
AB de Villiers,5.0,0.0,5.0,11,0.0,0,17.0,0,12,7,252,184,South Africa,0
IR Bell,4.0,0.0,4.0,14,0.0,0,16.0,1,12,6,0,247,England,0
AJ Strauss,7.0,0.0,7.0,9,0.0,0,16.0,1,12,6,0,247,England,0
KP Pietersen,0.0,0.0,0.0,0,0.0,0,16.0,1,12,6,0,247,England,0
AC Gilchrist,12.0,12.0,0.0,16,0.0,0,20.0,0,16,12,248,248,Australia,0
ML Hayden,8.0,8.0,0.0,17,0.0,0,20.0,0,16,12,248,248,Australia,0
SP Fleming,6.0,0.0,6.0,7,0.0,0,26.0,0,16,9,0,263,New Zealand,0
HJH Marshall,0.0,0.0,0.0,0,0.0,0,26.0,0,16,9,0,263,New Zealand,0
PG Fulton,20.0,16.0,4.0,27,0.0,0,26.0,0,16,9,0,263,New Zealand,0
WTS Porterfield,7.0,0.0,7.0,14,0.0,0,10.0,1,4,10,264,134,Ireland,0
EJG Morgan,2.0,0.0,2.0,13,0.0,0,10.0,1,4,10,264,134,Ireland,0
NJ O'Brien,0.0,0.0,0.0,0,0.0,0,10.0,1,4,10,264,134,Ireland,0
GC Smith,6.0,0.0,6.0,17,0.0,0,13.0,0,8,10,0,356,South Africa,0
AB de Villiers,7.0,4.0,3.0,17,0.0,0,13.0,0,8,10,0,356,South Africa,0
JH Kallis,0.0,0.0,0.0,0,0.0,0,13.0,0,8,10,0,356,South Africa,0
DS Smith,11.0,4.0,7.0,11,0.0,0,20.0,1,20,21,357,289,West Indies,1
CH Gayle,5.0,0.0,5.0,12,0.0,0,20.0,1,20,21,357,289,West Indies,1
Habibul Bashar,3.0,0.0,3.0,18,0.0,0,19.0,1,8,5,0,143,Bangladesh,0
Shahriar Nafees,8.0,4.0,4.0,8,0.0,0,19.0,1,8,5,0,143,Bangladesh,0
Mushfiqur Rahim,0.0,0.0,0.0,0,0.0,0,19.0,1,8,5,0,143,Bangladesh,0
Shakib Al Hasan,0.0,0.0,0.0,0,0.0,0,19.0,1,8,5,0,143,Bangladesh,0
MP Vaughan,5.0,4.0,1.0,15,0.0,0,7.0,1,8,5,144,147,England,0
AJ Strauss,2.0,0.0,2.0,7,0.0,0,7.0,1,8,5,144,147,England,0
PG Fulton,3.0,0.0,3.0,14,0.0,0,3.0,2,8,6,0,219,New Zealand,0
SB Styris,0.0,0.0,0.0,11,0.0,0,3.0,2,8,6,0,219,New Zealand,0
ST Jayasuriya,5.0,4.0,1.0,8,0.0,0,18.0,1,18,13,220,222,Sri Lanka,0
KC Sangakkara,2.0,0.0,2.0,2,0.0,0,18.0,1,18,13,220,222,Sri Lanka,0
AR White,1.0,0.0,1.0,3,0.0,0,11.0,4,4,7,0,91,Ireland,0
KJ O'Brien,8.0,8.0,0.0,6,0.0,0,11.0,4,4,7,0,91,Ireland,0
MEK Hussey,6.0,0.0,6.0,17,0.0,0,30.0,0,22,15,92,92,Australia,0
AC Gilchrist,24.0,12.0,12.0,18,0.0,0,30.0,0,22,15,92,92,Australia,0
A Symonds,0.0,0.0,0.0,0,0.0,0,30.0,0,22,15,92,92,Australia,0
JH Kallis,2.0,0.0,2.0,8,0.0,0,3.0,2,4,3,0,193,South Africa,0
HH Gibbs,0.0,0.0,0.0,5,0.0,0,3.0,2,4,3,0,193,South Africa,0
PG Fulton,7.0,4.0,3.0,24,0.0,0,11.0,0,16,10,194,196,New Zealand,0
SP Fleming,4.0,0.0,4.0,7,0.0,0,11.0,0,16,10,194,196,New Zealand,0
LRPL Taylor,0.0,0.0,0.0,0,0.0,0,11.0,0,16,10,194,196,New Zealand,0
WTS Porterfield,14.0,4.0,10.0,19,0.0,0,19.0,0,0,7,0,243,Ireland,0
JP Bray,5.0,0.0,5.0,13,0.0,0,19.0,0,0,7,0,243,Ireland,0
Tamim Iqbal,2.0,0.0,2.0,17,0.0,0,9.0,0,14,9,244,169,Bangladesh,0
Shahriar Nafees,7.0,4.0,3.0,18,0.0,0,9.0,0,14,9,244,169,Bangladesh,0
Aftab Ahmed,0.0,0.0,0.0,0,0.0,0,9.0,0,14,9,244,169,Bangladesh,0
WU Tharanga,5.0,0.0,5.0,17,0.0,0,17.0,1,4,1,0,226,Sri Lanka,0
KC Sangakkara,0.0,0.0,0.0,3,0.0,0,17.0,1,4,1,0,226,Sri Lanka,0
DPMD Jayawardene,0.0,0.0,0.0,0,0.0,0,17.0,1,4,1,0,226,Sri Lanka,0
LPC Silva,0.0,0.0,0.0,0,0.0,0,17.0,1,4,1,0,226,Sri Lanka,0
AC Gilchrist,9.0,4.0,5.0,22,0.0,0,13.0,0,26,14,227,232,Australia,0
ML Hayden,4.0,4.0,0.0,13,0.0,0,13.0,0,26,14,227,232,Australia,0
IR Bell,5.0,4.0,1.0,14,0.0,0,5.0,0,12,10,0,154,England,0
MP Vaughan,0.0,0.0,0.0,16,0.0,0,5.0,0,12,10,0,154,England,0
AJ Strauss,0.0,0.0,0.0,0,0.0,0,5.0,0,12,10,0,154,England,0
GC Smith,15.0,0.0,15.0,14,0.0,0,42.0,0,24,11,155,157,South Africa,0
AB de Villiers,27.0,20.0,7.0,18,0.0,0,42.0,0,24,11,155,157,South Africa,0
JH Kallis,0.0,0.0,0.0,0,0.0,0,42.0,0,24,11,155,157,South Africa,0
