Batsman,Total Runs Scored,Home Run Hitting Ability,Home Runs,Non Home Runs,Number of Milestones Reached,Average Balls Faced,Team
Umar Gul,407,44.0,200,207,0,10.4561403509,Pakistan
HDRL Thirimanne,2558,225.0,942,1616,20.0,44.1851851852,Sri Lanka
D Elgar,98,5.0,20,78,0,32.4,South Africa
Abdur Rehman,127,11.0,46,81,0,10.8571428571,Pakistan
H Masakadza,2886,333.0,1422,1464,20.0,38.5046728972,Zimbabwe
KO Meth,33,4.0,16,17,0,10.4,Zimbabwe
B Lee,477,48.0,218,259,1.0,13.2727272727,Australia
JR Hazlewood,5,1.0,4,1,0,4.5,Australia
R Mutumbami,232,29.0,122,110,1.0,22.1333333333,Zimbabwe
PP Ojha,46,3.0,12,34,0,12.6666666667,India
TWM Latham,862,94.0,398,464,5.0,33.7058823529,New Zealand
JH Kallis,3242,312.0,1308,1934,31.0,48.7471264368,South Africa
MM Patel,71,8.0,34,37,0,4.81818181818,India
DE Bollinger,50,5.0,20,30,0,7.71428571429,Australia
LRPL Taylor,4994,501.0,2204,2790,41.0,46.25,New Zealand
CH Gayle,3611,532.0,2414,1197,24.0,34.8103448276,West Indies
PC de Silva,63,7.0,28,35,0,16.8,Sri Lanka
NM Hauritz,291,26.0,116,175,1.0,12.44,Australia
MDKJ Perera,1184,152.0,674,510,9.0,28.4347826087,Sri Lanka
SP Narine,291,36.0,164,127,0,11.2058823529,West Indies
SJ Benn,135,16.0,68,67,0,9.25,West Indies
IJL Trott,2715,210.0,846,1869,25.0,58.1935483871,England
BAW Mendis,170,17.0,72,98,0,6.73684210526,Sri Lanka
PD McGlashan,63,7.0,30,33,1.0,26.5,New Zealand
IK Pathan,674,75.0,330,344,1.0,21.525,India
CJ Anderson,998,129.0,622,376,5.0,26.8787878788,New Zealand
Khaled Mashud,41,1.0,4,37,0,31.6666666667,Bangladesh
Hammad Azam,75,7.0,32,43,0,23.8,Pakistan
L Balaji,7,1.0,4,3,0,10.0,India
PG Fulton,877,88.0,376,501,6.0,40.625,New Zealand
ST Finn,130,14.0,62,68,0,9.08333333333,England
SL Malinga,403,50.0,234,169,1.0,6.66666666667,Sri Lanka
PC Connell,6,1.0,4,2,0,23.0,Ireland
LM Jongwe,121,12.0,52,69,0,16.7272727273,Zimbabwe
RR Emrit,13,1.0,4,9,0,17.5,West Indies
KOA Powell,715,97.0,406,309,6.0,32.8518518519,West Indies
Abdur Razzak,613,62.0,280,333,1.0,11.3698630137,Bangladesh
Mahmudullah,2394,222.0,934,1460,15.0,34.4285714286,Bangladesh
ND McKenzie,108,9.0,36,72,1.0,42.0,South Africa
JR Hopes,1153,113.0,464,689,3.0,23.2592592593,Australia
T Maruma,66,6.0,28,38,0,14.3333333333,Zimbabwe
HF Gurney,15,1.0,4,11,0,5.5,England
E Chigumbura,2598,261.0,1160,1438,13.0,29.298245614,Zimbabwe
KP Pietersen,3115,344.0,1462,1653,22.0,40.7419354839,England
VD Philander,141,13.0,52,89,0,13.25,South Africa
CJ Ferguson,606,57.0,228,378,4.0,32.7391304348,Australia
DL Vettori,1119,102.0,424,695,2.0,18.323943662,New Zealand
Shahzaib Hasan,100,15.0,64,36,1.0,39.3333333333,Pakistan
GW Flower,35,2.0,8,27,0,23.0,Zimbabwe
Syed Rasel,52,4.0,16,36,0,7.66666666667,Bangladesh
Ahmed Shehzad,2329,257.0,1060,1269,17.0,46.9857142857,Pakistan
MT Chinouya,6,1.0,4,2,0,4.5,Zimbabwe
JDS Neesham,238,28.0,118,120,0,15.875,New Zealand
CAK Walton,17,1.0,4,13,0,7.5,West Indies
RA Jadeja,1849,181.0,794,1055,10.0,26.3882352941,India
LD Chandimal,2368,201.0,862,1506,17.0,34.847826087,Sri Lanka
BMAJ Mendis,561,53.0,232,329,1.0,18.2972972973,Sri Lanka
SMA Priyanjan,420,50.0,206,214,2.0,26.65,Sri Lanka
JP Duminy,3686,286.0,1234,2452,23.0,37.3495934959,South Africa
LJ Woodcock,14,1.0,4,10,0,11.0,New Zealand
NO Miller,248,24.0,104,144,1.0,13.0416666667,West Indies
Jahurul Islam,226,24.0,100,126,1.0,29.5454545455,Bangladesh
DJ Hussey,1665,145.0,628,1037,14.0,33.2456140351,Australia
MG Johnson,876,96.0,426,450,2.0,11.4567901235,Australia
Zulqarnain Haider,48,3.0,12,36,0,17.5,Pakistan
SM Pollock,491,46.0,200,291,2.0,20.5517241379,South Africa
PD Collingwood,2841,244.0,1070,1771,18.0,39.7311827957,England
CH Morris,96,11.0,52,44,1.0,15.8333333333,South Africa
Asad Shafiq,1264,106.0,434,830,9.0,36.9215686275,Pakistan
Bazid Khan,53,3.0,14,39,1.0,51.0,Pakistan
PJ Forrest,368,38.0,160,208,4.0,41.2142857143,Australia
AJ Hall,144,14.0,58,86,1.0,16.4,South Africa
Sikandar Raza,997,114.0,494,503,5.0,32.2631578947,Zimbabwe
RJ Sidebottom,124,11.0,44,80,0,11.6875,England
AC Gilchrist,1257,172.0,740,517,11.0,32.7,Australia
M Morkel,185,21.0,94,91,0,7.31428571429,South Africa
ST Jayasuriya,2413,349.0,1520,893,15.0,34.5070422535,Sri Lanka
CJ Chibhabha,1577,172.0,712,865,10.0,36.3582089552,Zimbabwe
Tamim Iqbal,4166,531.0,2236,1930,36.0,41.4045801527,Bangladesh
MJ Lumb,165,15.0,66,99,1.0,68.6666666667,England
JM How,778,87.0,360,418,5.0,46.0769230769,New Zealand
N Madziva,49,5.0,20,29,0,13.8571428571,Zimbabwe
D Wiese,102,12.0,58,44,0,19.6666666667,South Africa
Aizaz Cheema,26,2.0,8,18,0,7.5,Pakistan
DR Martyn,312,40.0,162,150,3.0,68.4285714286,Australia
Sohaib Maqsood,677,66.0,292,385,5.0,36.9130434783,Pakistan
ADS Fletcher,216,29.0,124,92,2.0,21.5625,West Indies
G Chapple,14,2.0,10,4,0,7.0,England
LE Bosman,299,46.0,202,97,2.0,27.8181818182,South Africa
JWA Taylor,862,81.0,348,514,8.0,44.9583333333,England
HMCM Bandara,86,7.0,34,52,0,15.2857142857,Sri Lanka
LMP Simmons,1958,212.0,948,1010,18.0,42.828125,West Indies
