Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Team,Home
WTS Porterfield,0,0,0,0,0,0,0,0,1,1,134,Ireland,1
PR Stirling,0,0,0,0,0,0,0,0,4,4,134,Ireland,1
EC Joyce,0,0,0,0,0,0,0,0,0,0,134,Ireland,1
NJ O'Brien,0,0,0,0,0,0,0,0,6,6,134,Ireland,1
MDKJ Perera,0,0,0,0,0,0,0,0,9,9,0,Sri Lanka,0
HDRL Thirimanne,0,0,0,0,0,0,0,0,7,7,0,Sri Lanka,0
Sharjeel Khan,0,0,0,0,0,0,0,0,19,19,272,Pakistan,0
Ahmed Shehzad,0,0,0,0,0,0,0,0,1,1,272,Pakistan,0
Anamul Haque,0,0,0,0,0,0,0,0,8,8,0,Bangladesh,1
Shamsur Rahman,0,0,0,0,0,0,0,0,7,7,0,Bangladesh,1
RG Sharma,0,0,0,0,0,0,0,0,7,7,270,India,0
S Dhawan,0,0,0,0,0,0,0,0,4,4,270,India,0
RG Sharma,0,0,0,0,0,0,0,0,5,5,0,India,0
S Dhawan,0,0,0,0,0,0,0,0,14,14,0,India,0
MDKJ Perera,0,0,0,0,0,0,0,0,11,11,258,Sri Lanka,0
HDRL Thirimanne,0,0,0,0,0,0,0,0,5,5,258,Sri Lanka,0
RG Sharma,0,0,0,0,0,0,0,0,17,17,0,India,0
S Dhawan,0,0,0,0,0,0,0,0,10,10,0,India,0
V Kohli,0,0,0,0,0,0,0,0,1,1,0,India,0
Sharjeel Khan,0,0,0,0,0,0,0,0,6,6,233,Pakistan,0
Ahmed Shehzad,0,0,0,0,0,0,0,0,16,16,233,Pakistan,0
Anamul Haque,0,0,0,0,0,0,0,0,10,10,0,Bangladesh,1
Imrul Kayes,0,0,0,0,0,0,0,0,9,9,0,Bangladesh,1
Ahmed Shehzad,0,0,0,0,0,0,0,0,8,8,317,Pakistan,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,14,14,317,Pakistan,0
Anamul Haque,0,0,0,0,0,0,0,0,7,7,0,Bangladesh,1
Shamsur Rahman,0,0,0,0,0,0,0,0,9,9,0,Bangladesh,1
MDKJ Perera,0,0,0,0,0,0,0,0,0,0,200,Sri Lanka,0
KC Sangakkara,0,0,0,0,0,0,0,0,2,2,200,Sri Lanka,0
HDRL Thirimanne,0,0,0,0,0,0,0,0,6,6,200,Sri Lanka,0
DPMD Jayawardene,0,0,0,0,0,0,0,0,0,0,200,Sri Lanka,0
SMA Priyanjan,0,0,0,0,0,0,0,0,7,7,200,Sri Lanka,0
Sharjeel Khan,0,0,0,0,0,0,0,0,8,8,0,Pakistan,0
Ahmed Shehzad,0,0,0,0,0,0,0,0,5,5,0,Pakistan,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,3,3,0,Pakistan,0
Misbah-ul-Haq,0,0,0,0,0,0,0,0,1,1,0,Pakistan,0
Fawad Alam,0,0,0,0,0,0,0,0,0,0,0,Pakistan,0
MDKJ Perera,0,0,0,0,0,0,0,0,14,14,254,Sri Lanka,0
HDRL Thirimanne,0,0,0,0,0,0,0,0,11,11,254,Sri Lanka,0
HM Amla,0,0,0,0,0,0,0,0,13,13,0,South Africa,1
RR Rossouw,0,0,0,0,0,0,0,0,0,0,0,South Africa,1
F du Plessis,0,0,0,0,0,0,0,0,0,0,0,South Africa,1
AB de Villiers,0,0,0,0,0,0,0,0,4,4,0,South Africa,1
DR Smith,0,0,0,0,0,0,0,0,9,9,158,West Indies,0
CH Gayle,0,0,0,0,0,0,0,0,33,33,158,West Indies,0
HM Amla,0,0,0,0,0,0,0,0,19,19,0,South Africa,1
RR Rossouw,0,0,0,0,0,0,0,0,5,5,0,South Africa,1
DR Smith,0,0,0,0,0,0,0,0,13,13,268,West Indies,0
CH Gayle,0,0,0,0,0,0,0,0,19,19,268,West Indies,0
DR Smith,0,0,0,0,0,0,0,0,5,5,0,West Indies,0
N Deonarine,0,0,0,0,0,0,0,0,4,4,0,West Indies,0
CH Gayle,0,0,0,0,0,0,0,0,1,1,0,West Indies,0
MN Samuels,0,0,0,0,0,0,0,0,4,4,0,West Indies,0
RR Rossouw,0,0,0,0,0,0,0,0,3,3,120,South Africa,1
HM Amla,0,0,0,0,0,0,0,0,20,20,120,South Africa,1
MN van Wyk,0,0,0,0,0,0,0,0,13,13,0,South Africa,1
RR Rossouw,0,0,0,0,0,0,0,0,4,4,0,South Africa,1
F du Plessis,0,0,0,0,0,0,0,0,4,4,0,South Africa,1
DR Smith,0,0,0,0,0,0,0,0,0,0,245,West Indies,0
LR Johnson,0,0,0,0,0,0,0,0,1,1,245,West Indies,0
CH Gayle,0,0,0,0,0,0,0,0,5,5,245,West Indies,0
Q de Kock,0,0,0,0,0,0,0,0,4,4,0,South Africa,1
HM Amla,0,0,0,0,0,0,0,0,14,14,0,South Africa,1
F du Plessis,0,0,0,0,0,0,0,0,2,2,0,South Africa,1
CH Gayle,0,0,0,0,0,0,0,0,0,0,219,West Indies,0
DR Smith,0,0,0,0,0,0,0,0,11,11,219,West Indies,0
N Deonarine,0,0,0,0,0,0,0,0,18,18,219,West Indies,0
AJ Finch,0,0,0,0,0,0,0,0,0,0,0,Australia,0
SPD Smith,0,0,0,0,0,0,0,0,5,5,0,Australia,0
DA Warner,0,0,0,0,0,0,0,0,8,8,0,Australia,0
Ahmed Shehzad,0,0,0,0,0,0,0,0,4,4,147,Pakistan,0
Sarfraz Ahmed,0,0,0,0,0,0,0,0,5,5,147,Pakistan,0
Asad Shafiq,0,0,0,0,0,0,0,0,3,3,147,Pakistan,0
Ahmed Shehzad,0,0,0,0,0,0,0,0,15,15,0,Pakistan,0
Sarfraz Ahmed,0,0,0,0,0,0,0,0,3,3,0,Pakistan,0
DA Warner,0,0,0,0,0,0,0,0,10,10,203,Australia,0
AJ Finch,0,0,0,0,0,0,0,0,14,14,203,Australia,0
SPD Smith,0,0,0,0,0,0,0,0,5,5,203,Australia,0
AJ Finch,0,0,0,0,0,0,0,0,12,12,0,Australia,0
DA Warner,0,0,0,0,0,0,0,0,13,13,0,Australia,0
Ahmed Shehzad,0,0,0,0,0,0,0,0,4,4,206,Pakistan,0
Sarfraz Ahmed,0,0,0,0,0,0,0,0,13,13,206,Pakistan,0
HM Amla,0,0,0,0,0,0,0,0,9,9,0,South Africa,0
Q de Kock,0,0,0,0,0,0,0,0,11,11,0,South Africa,0
MDKJ Perera,0,0,0,0,0,0,0,0,21,21,219,Sri Lanka,1
TM Dilshan,0,0,0,0,0,0,0,0,3,3,219,Sri Lanka,1
MDKJ Perera,0,0,0,0,0,0,0,0,7,7,0,Sri Lanka,1
TM Dilshan,0,0,0,0,0,0,0,0,30,30,0,Sri Lanka,1
