Batsman,Total Runs Scored,Home Runs,Milestones Reached, avg Balls Faced
MB Loye,13,4.0,0,8.0
SJ Myburgh,24,4.0,0,5.0
T Taibu,203,19.0,0,10.0
Litton Das,31,4.0,0,12.0
AB de Villiers,646,74.0,0,10.0
LR Johnson,8,1.0,0,14.0
TM Odoyo,15,2.0,0,8.0
JE Root,310,27.0,0,11.0
AC Voges,8,1.0,0,6.0
GS Ballance,43,2.0,0,10.0
RG Sharma,536,54.0,0,11.0
EJG Morgan,270,29.0,0,10.0
TN de Grooth,4,1.0,0,7.0
DR Flynn,23,3.0,0,11.0
Sami Aslam,11,1.0,0,17.0
DI Allan,7,1.0,0,11.0
KDK Vithanage,9,1.0,0,14.0
Umar Amin,10,2.0,0,7.0
Umar Akmal,110,12.0,0,10.0
M Kaif,14,2.0,0,11.0
DA Minors,14,2.0,0,8.0
Imrul Kayes,214,24.0,0,12.0
MN Samuels,329,38.0,0,12.0
AD Hales,154,16.0,0,12.0
V Kohli,975,94.0,0,13.0
DR Smith,137,18.0,0,9.0
BB McCullum,584,78.0,0,12.0
SK Raina,258,28.0,0,9.0
BA Stokes,37,5.0,0,13.0
OA Shah,129,15.0,0,13.0
JL Ontong,7,1.0,0,11.0
Azhar Ali,155,12.0,0,12.0
MA Leask,34,6.0,0,12.0
SE Findlay,11,2.0,0,11.0
