Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Home,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,CR Woakes,0,0,0,2,92,4,11,2,4,17,0,262,0,1.09375,0,15.1562,76.8621,32,1
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,JP Duminy,21,8,13,40,89,3,29,1,8,18,263,266,1,2.3252,0.186992,29.9675,80.2351,123,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,F Behardien,0,0,0,0,89,3,29,1,8,18,263,266,1,2.0303,0.0909091,21.2424,91.395,33,0
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,D Wiese,0,0,0,0,89,3,29,1,8,18,263,266,1,2,0,17,86.4407,6,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,BA Stokes,16,0,16,22,101,3,27,0,18,13,0,236,0,2.23529,0.117647,20.1471,90.0131,34,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,AD Hales,75,40,35,79,101,3,27,0,18,13,0,236,0,4.2963,0.296296,34.1111,85.1201,27,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JC Buttler,0,0,0,0,101,3,27,0,18,13,0,236,0,3.47458,0.186441,29.9153,115.359,59,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,MM Ali,0,0,0,0,101,3,27,0,18,13,0,236,0,2.67647,0.117647,21.3824,94.5384,34,0
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,HM Amla,46,16,30,77,90,3,22,0,4,20,237,237,1,5.20168,0.403361,48.7899,86.9292,119,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,AB de Villiers,58,34,24,54,90,3,22,0,4,20,237,237,1,5.04969,0.403727,47.2174,98.8428,161,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,F Behardien,0,0,0,0,90,3,22,0,4,20,237,237,1,2.0303,0.0909091,21.2424,91.395,33,0
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Shakib Al Hasan,48,20,28,51,85,5,23,1,8,9,0,160,1,2.86992,0.252033,29.9106,79.0163,123,4
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,Mashrafe Mortaza,0,0,0,0,85,5,23,1,8,9,0,160,1,1.27536,0,11.1594,76.9231,69,1
