Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Home,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,DPMD Jayawardene,17,10,7,29,20,0,19,0,4,18,0,320,0,3.20833,0.244792,31.6979,79.1109,192,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,KC Sangakkara,0,0,0,0,20,0,19,0,4,18,0,320,0,4.33659,0.360976,41.9854,80.6276,205,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,G Gambhir,22,16,6,13,48,0,47,2,0,20,321,321,0,3.99145,0.333333,37.4701,84.1944,117,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,V Kohli,4,4,0,2,48,0,47,2,0,20,321,321,0,4.66456,0.379747,44.9937,88.3325,158,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,KC Sangakkara,13,0,13,30,16,2,19,0,6,17,0,238,0,4.33659,0.360976,41.9854,80.6276,205,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,LD Chandimal,8,4,4,8,16,2,19,0,6,17,0,238,0,2.18478,0.184783,25.7391,73.8615,92,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,SR Watson,11,4,7,17,24,3,9,0,0,10,239,229,1,4.71318,0.286822,37.7907,90.0943,129,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,MEK Hussey,5,4,1,18,24,3,9,0,0,10,239,229,1,2.7563,0.260504,34.084,82.4893,119,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,DA Warner,33,16,17,37,36,0,27,0,4,15,0,321,1,4.20312,0.265625,35.2031,87.7336,64,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,MS Wade,30,14,16,27,36,0,27,0,4,15,0,321,1,1.86275,0.117647,20.3333,78.2642,51,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,KC Sangakkara,22,12,10,15,35,1,29,1,4,14,322,306,0,4.33659,0.360976,41.9854,80.6276,205,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,LD Chandimal,1,0,1,9,35,1,29,1,4,14,322,306,0,2.18478,0.184783,25.7391,73.8615,92,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,DA Warner,11,4,7,22,19,1,16,0,0,17,0,271,1,4.20312,0.265625,35.2031,87.7336,64,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,SR Watson,10,0,10,19,19,1,16,0,0,17,0,271,1,4.71318,0.286822,37.7907,90.0943,129,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,DPMD Jayawardene,25,12,13,25,29,0,30,0,8,16,272,274,0,3.20833,0.244792,31.6979,79.1109,192,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,TM Dilshan,34,20,14,41,29,0,30,0,8,16,272,274,0,4.60199,0.273632,38.3632,86.0219,201,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,DA Warner,36,22,14,32,17,0,36,0,4,17,0,231,1,4.20312,0.265625,35.2031,87.7336,64,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,MS Wade,17,4,13,29,17,0,36,0,4,17,0,231,1,1.86275,0.117647,20.3333,78.2642,51,1
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,SR Watson,0,0,0,0,17,0,36,0,4,17,0,231,1,4.71318,0.286822,37.7907,90.0943,129,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,HDRL Thirimanne,1,0,1,7,34,1,15,3,0,11,232,215,0,2.77778,0.246914,31.5802,71.4725,81,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,WU Tharanga,1,0,1,2,34,1,15,3,0,11,232,215,0,3.93985,0.263158,32.9699,71.6035,133,4
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,MJ Guptill,30,24,6,28,25,2,23,0,4,22,0,248,1,4.8087,0.313043,38.1217,82.7482,115,4
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,KS Williamson,15,8,7,26,25,2,23,0,4,22,0,248,1,4.31707,0.390244,43.0488,82.8833,82,4
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,BRM Taylor,9,8,1,14,10,1,13,2,16,8,249,158,0,3.3,0.26,33.56,76.3421,100,4
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,T Taibu,4,0,4,15,10,1,13,2,16,8,249,158,0,2.36364,0.254545,29.4,71.0145,55,4
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,MJ Guptill,40,28,12,39,10,0,39,0,8,18,0,372,1,4.8087,0.313043,38.1217,82.7482,115,4
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,RJ Nicol,9,8,1,21,10,0,39,0,8,18,0,372,1,3.3,0.2,29.25,73.4003,20,4
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,RW Chakabva,5,0,5,23,11,2,9,1,0,18,373,231,0,0.846154,0,13.2692,51.3393,26,3
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,T Taibu,3,0,3,14,11,2,9,1,0,18,373,231,0,2.36364,0.254545,29.4,71.0145,55,4
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,MN Waller,0,0,0,0,11,2,9,1,0,18,373,231,0,2.07895,0.0789474,19.3684,68.9784,38,1
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,MJ Guptill,47,40,7,34,37,0,41,0,4,14,0,373,1,4.8087,0.313043,38.1217,82.7482,115,4
New Zealand,184,233.745,7.39674,0.36413,227.951,7.30435,0.353261,RJ Nicol,31,24,7,30,37,0,41,0,4,14,0,373,1,3.3,0.2,29.25,73.4003,20,4
