Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Match Index,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,12,CH Gayle,35,32,3,35,24,1,22,0,0,15,15,36,25,61,0,255,7,1,3,4.58621,0.206897,31.1293,89.4255,116,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,12,RR Sarwan,11,4,7,28,24,1,22,0,0,15,15,36,25,61,0,255,7,1,3,2.8254,0.222222,29.1429,69.1005,63,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,12,V Sehwag,15,8,7,23,21,1,23,1,20,11,31,48,27,75,256,236,9,0,3,5.88636,0.238636,38.8295,108.649,88,0
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,12,R Dravid,15,12,3,20,21,1,23,1,20,11,31,48,27,75,256,236,9,0,3,2.83721,0.255814,29.8605,72.7067,43,4
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,12,Yuvraj Singh,0,0,0,0,21,1,23,1,20,11,31,48,27,75,256,236,9,0,3,4.05833,0.258333,32.525,83.8093,120,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,13,S Chanderpaul,11,4,7,34,19,1,18,0,8,5,13,32,18,50,0,241,4,1,3,3.57143,0.396825,40.8254,68.0783,63,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,13,RR Sarwan,24,20,4,23,19,1,18,0,8,5,13,32,18,50,0,241,4,1,3,2.8254,0.222222,29.1429,69.1005,63,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,13,Mohammad Hafeez,10,8,2,26,20,2,15,0,0,6,6,22,19,41,242,187,3,0,3,4.04511,0.255639,34.3534,78.0625,133,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,13,Mohammad Yousuf,10,0,10,18,20,2,15,0,0,6,6,22,19,41,242,187,3,0,3,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,13,Inzamam-ul-Haq,0,0,0,0,20,2,15,0,0,6,6,22,19,41,242,187,3,0,3,3.16667,0,26.9167,70.989,12,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,16,NJ O'Brien,1,0,1,1,15,1,25,1,10,8,18,36,22,58,0,221,6,0,3,2.55882,0.176471,25.5882,69.378,34,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,16,AC Botha,0,0,0,0,15,1,25,1,10,8,18,36,22,58,0,221,6,0,3,1.25,0.0833333,14.3333,53.75,12,3
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,16,JP Bray,18,10,8,27,15,1,25,1,10,8,18,36,22,58,0,221,6,0,3,2.7,0.1,23.4,63.0728,10,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,16,KJ O'Brien,0,0,0,0,15,1,25,1,10,8,18,36,22,58,0,221,6,0,3,2.64706,0.0588235,22.3824,79.4363,34,4
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,16,V Sibanda,33,20,13,35,23,0,22,1,8,9,17,36,26,62,222,221,7,0,3,2.9697,0.181818,23.5152,63.5545,66,1
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,16,CJ Chibhabha,0,0,0,7,23,0,22,1,8,9,17,36,26,62,222,221,7,0,3,2.56716,0.149254,23.5373,64.7373,67,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,18,MP Vaughan,19,8,11,38,7,1,17,1,16,5,21,24,21,45,0,209,7,0,3,2.6,0.1,20.6,66.4516,10,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,18,KP Pietersen,0,0,0,5,7,1,17,1,16,5,21,24,21,45,0,209,7,0,3,3.69892,0.236559,33.4946,82.2117,93,4
