Match Index,Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
30,RR Sarwan,0.0,0.0,0.0,0,0.0,0,22.0,1,20.0,8.0,28,32,18,50,184,190,4,West Indies,1,2
30,S Chanderpaul,4.0,0.0,4.0,17,0.0,0,22.0,1,20.0,8.0,28,32,18,50,184,190,4,West Indies,1,2
31,ML Hayden,27.0,24.0,3.0,11,0.0,0,50.0,0,16.0,11.0,27,56,21,77,0,377,0,Australia,0,2
31,AC Gilchrist,23.0,16.0,7.0,19,0.0,0,50.0,0,16.0,11.0,27,56,21,77,0,377,0,Australia,0,2
31,AB de Villiers,22.0,18.0,4.0,19,0.0,0,37.0,0,26.0,7.0,33,56,14,70,378,294,3,South Africa,0,2
31,GC Smith,15.0,12.0,3.0,14,0.0,0,37.0,0,26.0,7.0,33,56,14,70,378,294,3,South Africa,0,2
34,ML Hayden,0.0,0.0,0.0,16,0.0,0,9.0,1,26.0,13.0,39,26,22,48,0,322,8,Australia,0,2
34,RT Ponting,2.0,0.0,2.0,5,0.0,0,9.0,1,26.0,13.0,39,26,22,48,0,322,8,Australia,0,2
34,RR Sarwan,2.0,0.0,2.0,3,0.0,0,8.0,1,4.0,3.0,7,4,11,15,323,219,5,West Indies,1,2
34,CH Gayle,1.0,0.0,1.0,16,0.0,0,8.0,1,4.0,3.0,7,4,11,15,323,219,5,West Indies,1,2
34,MN Samuels,0.0,0.0,0.0,0,0.0,0,8.0,1,4.0,3.0,7,4,11,15,323,219,5,West Indies,1,2
35,ST Jayasuriya,11.0,8.0,3.0,11,0.0,0,25.0,1,8.0,11.0,19,24,20,44,0,209,1,Sri Lanka,0,2
35,DPMD Jayawardene,2.0,0.0,2.0,6,0.0,0,25.0,1,8.0,11.0,19,24,20,44,0,209,1,Sri Lanka,0,2
35,GC Smith,17.0,12.0,5.0,18,0.0,0,23.0,1,8.0,13.0,21,20,24,44,210,212,2,South Africa,0,2
35,JH Kallis,6.0,0.0,6.0,9,0.0,0,23.0,1,8.0,13.0,21,20,24,44,210,212,2,South Africa,0,2
36,CH Gayle,1.0,0.0,1.0,12,0.0,0,5.0,0,12.0,7.0,19,12,12,24,0,177,3,West Indies,1,2
36,S Chanderpaul,4.0,0.0,4.0,20,0.0,0,5.0,0,12.0,7.0,19,12,12,24,0,177,3,West Indies,1,2
36,RR Sarwan,0.0,0.0,0.0,0,0.0,0,5.0,0,12.0,7.0,19,12,12,24,0,177,3,West Indies,1,2
36,HJH Marshall,9.0,4.0,5.0,17,0.0,0,15.0,1,12.0,8.0,20,20,15,35,178,179,2,New Zealand,0,2
36,SP Fleming,6.0,4.0,2.0,12,0.0,0,15.0,1,12.0,8.0,20,20,15,35,178,179,2,New Zealand,0,2
36,SB Styris,0.0,0.0,0.0,0,0.0,0,15.0,1,12.0,8.0,20,20,15,35,178,179,2,New Zealand,0,2
37,Shakib Al Hasan,7.0,6.0,1.0,7,0.0,0,22.0,2,4.0,11.0,15,14,23,37,0,104,4,Bangladesh,0,2
37,Aftab Ahmed,11.0,4.0,7.0,7,0.0,0,22.0,2,4.0,11.0,15,14,23,37,0,104,4,Bangladesh,0,2
37,Mohammad Ashraful,0.0,0.0,0.0,0,0.0,0,22.0,2,4.0,11.0,15,14,23,37,0,104,4,Bangladesh,0,2
37,Habibul Bashar,0.0,0.0,0.0,0,0.0,0,22.0,2,4.0,11.0,15,14,23,37,0,104,4,Bangladesh,0,2
37,ML Hayden,9.0,4.0,5.0,10,0.0,0,40.0,0,10.0,18.0,28,38,30,68,105,106,0,Australia,0,2
37,AC Gilchrist,31.0,24.0,7.0,20,0.0,0,40.0,0,10.0,18.0,28,38,30,68,105,106,0,Australia,0,2
38,WU Tharanga,4.0,0.0,4.0,20,0.0,0,9.0,0,12.0,7.0,19,12,16,28,0,303,9,Sri Lanka,0,2
38,KC Sangakkara,0.0,0.0,0.0,0,0.0,0,9.0,0,12.0,7.0,19,12,16,28,0,303,9,Sri Lanka,0,2
38,ST Jayasuriya,5.0,0.0,5.0,15,0.0,0,9.0,0,12.0,7.0,19,12,16,28,0,303,9,Sri Lanka,0,2
38,DPMD Jayawardene,0.0,0.0,0.0,0,0.0,0,9.0,0,12.0,7.0,19,12,16,28,0,303,9,Sri Lanka,0,2
38,CH Gayle,8.0,4.0,4.0,19,0.0,0,17.0,0,8.0,9.0,17,16,18,34,304,190,8,West Indies,1,2
38,DJ Bravo,9.0,4.0,5.0,12,0.0,0,17.0,0,8.0,9.0,17,16,18,34,304,190,8,West Indies,1,2
38,S Chanderpaul,0.0,0.0,0.0,0,0.0,0,17.0,0,8.0,9.0,17,16,18,34,304,190,8,West Indies,1,2
38,BC Lara,0.0,0.0,0.0,0,0.0,0,17.0,0,8.0,9.0,17,16,18,34,304,190,8,West Indies,1,2
39,Tamim Iqbal,3.0,0.0,3.0,15,0.0,0,14.0,0,4.0,5.0,9,12,11,23,0,174,4,Bangladesh,0,2
39,Javed Omar,11.0,8.0,3.0,15,0.0,0,14.0,0,4.0,5.0,9,12,11,23,0,174,4,Bangladesh,0,2
39,PG Fulton,5.0,4.0,1.0,19,0.0,0,23.0,0,8.0,13.0,21,24,20,44,175,178,3,New Zealand,0,2
39,SP Fleming,18.0,12.0,6.0,14,0.0,0,23.0,0,8.0,13.0,21,24,20,44,175,178,3,New Zealand,0,2
39,HJH Marshall,0.0,0.0,0.0,0,0.0,0,23.0,0,8.0,13.0,21,24,20,44,175,178,3,New Zealand,0,2
40,EJG Morgan,6.0,4.0,2.0,12,0.0,0,9.0,1,4.0,4.0,8,8,9,17,0,152,2,Ireland,0,2
40,WTS Porterfield,3.0,0.0,3.0,9,0.0,0,9.0,1,4.0,4.0,8,8,9,17,0,152,2,Ireland,0,2
40,GC Smith,4.0,0.0,4.0,9,0.0,0,18.0,1,32.0,10.0,42,44,16,60,153,165,4,South Africa,0,2
