Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Team,Home
ML Hayden,0,0,0,0,0,0,0,0,0,2,228,Australia,1
AJ Strauss,0,0,0,0,0,0,0,0,0,7,0,England,0
MB Loye,0,0,0,0,0,0,0,0,10,6,0,England,0
AC Gilchrist,0,0,0,0,0,0,0,0,4,2,139,Australia,1
ML Hayden,0,0,0,0,0,0,0,0,4,6,139,Australia,1
AJ Strauss,0,0,0,0,0,0,0,0,0,4,0,England,0
MB Loye,0,0,0,0,0,0,0,0,6,3,0,England,0
IR Bell,0,0,0,0,0,0,0,0,0,0,0,England,0
AC Gilchrist,0,0,0,0,0,0,0,0,16,6,105,Australia,1
ML Hayden,0,0,0,0,0,0,0,0,0,0,105,Australia,1
EC Joyce,0,0,0,0,0,0,0,0,4,2,0,England,0
MB Loye,0,0,0,0,0,0,0,0,0,7,0,England,0
AC Gilchrist,0,0,0,0,0,0,0,0,0,0,177,Australia,1
BJ Hodge,0,0,0,0,0,0,0,0,0,1,177,Australia,1
ML Hayden,0,0,0,0,0,0,0,0,4,1,177,Australia,1
MJ Clarke,0,0,0,0,0,0,0,0,4,4,177,Australia,1
BB McCullum,0,0,0,0,0,0,0,0,14,2,0,New Zealand,0
NJ Astle,0,0,0,0,0,0,0,0,8,1,0,New Zealand,0
AJ Strauss,0,0,0,0,0,0,0,0,4,2,196,England,0
MP Vaughan,0,0,0,0,0,0,0,0,4,1,196,England,0
SP Fleming,0,0,0,0,0,0,0,0,0,3,0,New Zealand,0
NJ Astle,0,0,0,0,0,0,0,0,0,1,0,New Zealand,0
PG Fulton,0,0,0,0,0,0,0,0,4,0,0,New Zealand,0
AJ Strauss,0,0,0,0,0,0,0,0,4,6,113,England,0
MB Loye,0,0,0,0,0,0,0,0,4,3,113,England,0
L Vincent,0,0,0,0,0,0,0,0,4,4,0,New Zealand,0
SP Fleming,0,0,0,0,0,0,0,0,12,3,0,New Zealand,0
EC Joyce,0,0,0,0,0,0,0,0,4,6,243,England,0
MB Loye,0,0,0,0,0,0,0,0,14,1,243,England,0
IR Bell,0,0,0,0,0,0,0,0,0,0,243,England,0
AC Gilchrist,0,0,0,0,0,0,0,0,0,5,0,Australia,1
ML Hayden,0,0,0,0,0,0,0,0,16,2,0,Australia,1
EC Joyce,0,0,0,0,0,0,0,0,4,2,241,England,0
MB Loye,0,0,0,0,0,0,0,0,0,0,241,England,0
IR Bell,0,0,0,0,0,0,0,0,4,4,241,England,0
EC Joyce,0,0,0,0,0,0,0,0,8,2,0,England,0
MB Loye,0,0,0,0,0,0,0,0,8,1,0,England,0
AC Gilchrist,0,0,0,0,0,0,0,0,8,9,142,Australia,1
ML Hayden,0,0,0,0,0,0,0,0,0,5,142,Australia,1
RT Ponting,0,0,0,0,0,0,0,0,4,3,142,Australia,1
MJ Clarke,0,0,0,0,0,0,0,0,0,0,142,Australia,1
WU Tharanga,0,0,0,0,0,0,0,0,0,2,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,8,4,0,Sri Lanka,0
Shahriar Nafees,0,0,0,0,0,0,0,0,0,3,230,Bangladesh,0
Mohammad Ashraful,0,0,0,0,0,0,0,0,4,2,230,Bangladesh,0
TV Mufambisi,0,0,0,0,0,0,0,0,4,2,0,Zimbabwe,0
CJ Chibhabha,0,0,0,0,0,0,0,0,0,1,0,Zimbabwe,0
H Masakadza,0,0,0,0,0,0,0,0,0,1,0,Zimbabwe,0
BRM Taylor,0,0,0,0,0,0,0,0,0,0,0,Zimbabwe,0
CH Gayle,0,0,0,0,0,0,0,0,0,2,80,West Indies,0
S Chanderpaul,0,0,0,0,0,0,0,0,4,4,80,West Indies,0
WU Tharanga,0,0,0,0,0,0,0,0,8,2,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,0,5,0,Sri Lanka,0
TV Mufambisi,0,0,0,0,0,0,0,0,4,1,115,Zimbabwe,0
HP Rinke,0,0,0,0,0,0,0,0,0,1,115,Zimbabwe,0
CJ Chibhabha,0,0,0,0,0,0,0,0,0,1,115,Zimbabwe,0
H Masakadza,0,0,0,0,0,0,0,0,0,3,115,Zimbabwe,0
Shahriar Nafees,0,0,0,0,0,0,0,0,4,3,0,Bangladesh,0
Mohammad Ashraful,0,0,0,0,0,0,0,0,0,2,0,Bangladesh,0
Aftab Ahmed,0,0,0,0,0,0,0,0,4,0,0,Bangladesh,0
CH Gayle,0,0,0,0,0,0,0,0,4,4,157,West Indies,0
S Chanderpaul,0,0,0,0,0,0,0,0,8,2,157,West Indies,0
CH Gayle,0,0,0,0,0,0,0,0,0,0,0,West Indies,0
RR Sarwan,0,0,0,0,0,0,0,0,0,0,0,West Indies,0
S Chanderpaul,0,0,0,0,0,0,0,0,8,0,0,West Indies,0
BC Lara,0,0,0,0,0,0,0,0,0,0,0,West Indies,0
WW Hinds,0,0,0,0,0,0,0,0,0,1,0,West Indies,0
WU Tharanga,0,0,0,0,0,0,0,0,0,0,80,Sri Lanka,0
DPMD Jayawardene,0,0,0,0,0,0,0,0,4,4,80,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,12,2,80,Sri Lanka,0
AJ Strauss,0,0,0,0,0,0,0,0,4,3,0,England,0
IR Bell,0,0,0,0,0,0,0,0,0,4,0,England,0
A Flintoff,0,0,0,0,0,0,0,0,0,0,0,England,0
MH Yardy,0,0,0,0,0,0,0,0,0,0,0,England,0
V Sehwag,0,0,0,0,0,0,0,0,8,1,108,India,1
SR Tendulkar,0,0,0,0,0,0,0,0,12,5,108,India,1
IK Pathan,0,0,0,0,0,0,0,0,8,2,108,India,1
L Vincent,0,0,0,0,0,0,0,0,8,5,0,New Zealand,0
SP Fleming,0,0,0,0,0,0,0,0,4,2,0,New Zealand,0
GC Smith,0,0,0,0,0,0,0,0,0,4,100,South Africa,0
HH Dippenaar,0,0,0,0,0,0,0,0,0,0,100,South Africa,0
HH Gibbs,0,0,0,0,0,0,0,0,0,0,100,South Africa,0
JH Kallis,0,0,0,0,0,0,0,0,4,3,100,South Africa,0
